#term ID	term description	genes mapped	enrichment score	direction	false discovery rate	method	matching proteins in your input (IDs)	matching proteins in your input (labels)
MMU-72766	Translation	116	0.925499	bottom	8.79e-26	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000001485,10090.ENSMUSP00000003320,10090.ENSMUSP00000003386,10090.ENSMUSP00000003521,10090.ENSMUSP00000007482,10090.ENSMUSP00000008036,10090.ENSMUSP00000009693,10090.ENSMUSP00000010550,10090.ENSMUSP00000016977,10090.ENSMUSP00000017548,10090.ENSMUSP00000019026,10090.ENSMUSP00000019649,10090.ENSMUSP00000020286,10090.ENSMUSP00000020820,10090.ENSMUSP00000022098,10090.ENSMUSP00000022538,10090.ENSMUSP00000023391,10090.ENSMUSP00000024734,10090.ENSMUSP00000024763,10090.ENSMUSP00000025014,10090.ENSMUSP00000025278,10090.ENSMUSP00000025745,10090.ENSMUSP00000025836,10090.ENSMUSP00000026420,10090.ENSMUSP00000027256,10090.ENSMUSP00000030675,10090.ENSMUSP00000030942,10090.ENSMUSP00000031978,10090.ENSMUSP00000032597,10090.ENSMUSP00000032840,10090.ENSMUSP00000032841,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000035034,10090.ENSMUSP00000036725,10090.ENSMUSP00000037631,10090.ENSMUSP00000037783,10090.ENSMUSP00000038352,10090.ENSMUSP00000039784,10090.ENSMUSP00000039951,10090.ENSMUSP00000041652,10090.ENSMUSP00000042457,10090.ENSMUSP00000044417,10090.ENSMUSP00000044497,10090.ENSMUSP00000046506,10090.ENSMUSP00000048348,10090.ENSMUSP00000048469,10090.ENSMUSP00000053033,10090.ENSMUSP00000054490,10090.ENSMUSP00000055619,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000059395,10090.ENSMUSP00000062326,10090.ENSMUSP00000066038,10090.ENSMUSP00000066990,10090.ENSMUSP00000069004,10090.ENSMUSP00000071202,10090.ENSMUSP00000071616,10090.ENSMUSP00000078123,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081114,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000084387,10090.ENSMUSP00000088456,10090.ENSMUSP00000095322,10090.ENSMUSP00000098076,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102047,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000104414,10090.ENSMUSP00000104957,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000112250,10090.ENSMUSP00000112283,10090.ENSMUSP00000115512,10090.ENSMUSP00000115722,10090.ENSMUSP00000116090,10090.ENSMUSP00000116492,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000117971,10090.ENSMUSP00000118787,10090.ENSMUSP00000119535,10090.ENSMUSP00000120075,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000126825,10090.ENSMUSP00000127034,10090.ENSMUSP00000129072,10090.ENSMUSP00000130722,10090.ENSMUSP00000131489,10090.ENSMUSP00000132443,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Mrpl10,Eif2b5,Mrpl4,Rps11,Mrpl49,Rplp1,Srp14,Mrpl52,Mrps18c,Rpl19,Mrpl45,Ubb,Ppa1,Mrpl22,Mrpl36,Mrpl57,Mrpl40,Mrpl14,Mrps18a,Mrpl28,Mrpl27,Mrpl21,Mrpl11,Rps26,Mrpl30,Mrps15,Mrpl20,Mrps33,Rpl28,Mrps11,Mrpl46,Rps3,Rps4x,Rpl4,Mrps22,Mrps2,Mrps6,Gadd45gip1,Rps29,Mrpl23,Mrpl54,Rpl21,Eef1a1,Mrpl12,Mrpl34,Rpl37,Mrps35,Rpl10a,Mrps7,Rps23,Mrps16,Rps21,Rpl37a,Eif2s3x,Mrps27,Eif3k,Mrps21,Rps15,Chchd1,Rpl7,Mrpl18,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Aurkaip1,Rplp2,Rpl10,Rplp0,Rpl31,Eif1ax,Dap3,Mrpl43,Eif3b,Rpl23,Rpl23a,Rpl11,Mrpl38,Rpl38,Rps16,Rps19,Rps5,Rps9,Mrpl55,Mrps36,Rpl9,Rpl35a,Rpl39,Trmt112,Mrpl39,Mrpl15,Rpl13a,Mrpl48,Eef1b2,Rpl12,Rpl29,Mrpl17,Rpl22,Mrps24,Mrps14,Rps20,Rpl27a,Rps13,Eif5,Eif4a1,Rpl26,Mrpl13,Rpl14,Mrps12,Rps28,Rpl32,Rpl18,Rps12,Rps24
MMU-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	71	0.874308	bottom	1.06e-13	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000004379,10090.ENSMUSP00000004470,10090.ENSMUSP00000008036,10090.ENSMUSP00000017548,10090.ENSMUSP00000018184,10090.ENSMUSP00000019649,10090.ENSMUSP00000020317,10090.ENSMUSP00000023217,10090.ENSMUSP00000024783,10090.ENSMUSP00000026420,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034392,10090.ENSMUSP00000034827,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000038580,10090.ENSMUSP00000041652,10090.ENSMUSP00000041906,10090.ENSMUSP00000043519,10090.ENSMUSP00000046506,10090.ENSMUSP00000048204,10090.ENSMUSP00000048469,10090.ENSMUSP00000050940,10090.ENSMUSP00000050992,10090.ENSMUSP00000052149,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000067579,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000091840,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000145948,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Emg1,Utp20,Rplp1,Rpl19,Rrp7a,Ubb,Pno1,Bop1,Bysl,Rps26,Rpl28,Rps3,Rps4x,Nip7,Imp3,Rpl4,Rps29,Rrp9,Rpl21,Dis3,Exosc2,Rpl37,Utp15,Rpl10a,Exosc4,Rpp38,Utp14b,Rps23,Rps21,Rpl37a,Rcl1,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Snu13,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Rpl26,Rpl14,Rps28,Rpl32,Exosc5,Rpl18,Rps12,Rps24
MMU-1799339	SRP-dependent cotranslational protein targeting to membrane	54	0.981826	bottom	1.41e-13	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000009693,10090.ENSMUSP00000017548,10090.ENSMUSP00000019649,10090.ENSMUSP00000026420,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Rplp1,Srp14,Rpl19,Ubb,Rps26,Rpl28,Rps3,Rps4x,Rpl4,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rps21,Rpl37a,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Rpl26,Rpl14,Rps28,Rpl32,Rpl18,Rps12,Rps24
MMU-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	53	0.983283	bottom	2.12e-13	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000017548,10090.ENSMUSP00000019649,10090.ENSMUSP00000026420,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Rplp1,Rpl19,Ubb,Rps26,Rpl28,Rps3,Rps4x,Rpl4,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rps21,Rpl37a,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Rpl26,Rpl14,Rps28,Rpl32,Rpl18,Rps12,Rps24
MMU-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	55	0.943614	bottom	4.23e-13	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000017548,10090.ENSMUSP00000019649,10090.ENSMUSP00000026420,10090.ENSMUSP00000026667,10090.ENSMUSP00000032597,10090.ENSMUSP00000032891,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Rplp1,Rpl19,Ubb,Rps26,Eif4a3,Rpl28,Smg1,Rps3,Rps4x,Rpl4,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rps21,Rpl37a,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Rpl26,Rpl14,Rps28,Rpl32,Rpl18,Rps12,Rps24
MMU-5389840	Mitochondrial translation elongation	51	0.957139	bottom	4.53e-13	ks	10090.ENSMUSP00000001485,10090.ENSMUSP00000003386,10090.ENSMUSP00000007482,10090.ENSMUSP00000010550,10090.ENSMUSP00000016977,10090.ENSMUSP00000019026,10090.ENSMUSP00000020820,10090.ENSMUSP00000022098,10090.ENSMUSP00000022538,10090.ENSMUSP00000023391,10090.ENSMUSP00000024734,10090.ENSMUSP00000024763,10090.ENSMUSP00000025014,10090.ENSMUSP00000025278,10090.ENSMUSP00000025745,10090.ENSMUSP00000025836,10090.ENSMUSP00000027256,10090.ENSMUSP00000030675,10090.ENSMUSP00000030942,10090.ENSMUSP00000031978,10090.ENSMUSP00000032840,10090.ENSMUSP00000032841,10090.ENSMUSP00000035034,10090.ENSMUSP00000036725,10090.ENSMUSP00000037631,10090.ENSMUSP00000037783,10090.ENSMUSP00000039784,10090.ENSMUSP00000039951,10090.ENSMUSP00000044417,10090.ENSMUSP00000044497,10090.ENSMUSP00000048348,10090.ENSMUSP00000053033,10090.ENSMUSP00000055619,10090.ENSMUSP00000062326,10090.ENSMUSP00000066990,10090.ENSMUSP00000071202,10090.ENSMUSP00000078123,10090.ENSMUSP00000081114,10090.ENSMUSP00000088456,10090.ENSMUSP00000095322,10090.ENSMUSP00000102047,10090.ENSMUSP00000104414,10090.ENSMUSP00000104957,10090.ENSMUSP00000112283,10090.ENSMUSP00000115512,10090.ENSMUSP00000116090,10090.ENSMUSP00000117971,10090.ENSMUSP00000119535,10090.ENSMUSP00000120075,10090.ENSMUSP00000130722,10090.ENSMUSP00000132443	Mrpl10,Mrpl4,Mrpl49,Mrpl52,Mrps18c,Mrpl45,Mrpl22,Mrpl36,Mrpl57,Mrpl40,Mrpl14,Mrps18a,Mrpl28,Mrpl27,Mrpl21,Mrpl11,Mrpl30,Mrps15,Mrpl20,Mrps33,Mrps11,Mrpl46,Mrps22,Mrps2,Mrps6,Gadd45gip1,Mrpl23,Mrpl54,Mrpl12,Mrpl34,Mrps35,Mrps7,Mrps16,Mrps27,Mrps21,Chchd1,Mrpl18,Aurkaip1,Dap3,Mrpl43,Mrpl38,Mrpl55,Mrps36,Mrpl39,Mrpl15,Mrpl48,Mrpl17,Mrps24,Mrps14,Mrpl13,Mrps12
MMU-5419276	Mitochondrial translation termination	51	0.957139	bottom	4.53e-13	ks	10090.ENSMUSP00000001485,10090.ENSMUSP00000003386,10090.ENSMUSP00000007482,10090.ENSMUSP00000010550,10090.ENSMUSP00000016977,10090.ENSMUSP00000019026,10090.ENSMUSP00000020820,10090.ENSMUSP00000022098,10090.ENSMUSP00000022538,10090.ENSMUSP00000023391,10090.ENSMUSP00000024734,10090.ENSMUSP00000024763,10090.ENSMUSP00000025014,10090.ENSMUSP00000025278,10090.ENSMUSP00000025745,10090.ENSMUSP00000025836,10090.ENSMUSP00000027256,10090.ENSMUSP00000030675,10090.ENSMUSP00000030942,10090.ENSMUSP00000031978,10090.ENSMUSP00000032840,10090.ENSMUSP00000032841,10090.ENSMUSP00000035034,10090.ENSMUSP00000036725,10090.ENSMUSP00000037631,10090.ENSMUSP00000037783,10090.ENSMUSP00000039784,10090.ENSMUSP00000039951,10090.ENSMUSP00000044417,10090.ENSMUSP00000044497,10090.ENSMUSP00000048348,10090.ENSMUSP00000053033,10090.ENSMUSP00000055619,10090.ENSMUSP00000062326,10090.ENSMUSP00000066990,10090.ENSMUSP00000071202,10090.ENSMUSP00000078123,10090.ENSMUSP00000081114,10090.ENSMUSP00000088456,10090.ENSMUSP00000095322,10090.ENSMUSP00000102047,10090.ENSMUSP00000104414,10090.ENSMUSP00000104957,10090.ENSMUSP00000112283,10090.ENSMUSP00000115512,10090.ENSMUSP00000116090,10090.ENSMUSP00000117971,10090.ENSMUSP00000119535,10090.ENSMUSP00000120075,10090.ENSMUSP00000130722,10090.ENSMUSP00000132443	Mrpl10,Mrpl4,Mrpl49,Mrpl52,Mrps18c,Mrpl45,Mrpl22,Mrpl36,Mrpl57,Mrpl40,Mrpl14,Mrps18a,Mrpl28,Mrpl27,Mrpl21,Mrpl11,Mrpl30,Mrps15,Mrpl20,Mrps33,Mrps11,Mrpl46,Mrps22,Mrps2,Mrps6,Gadd45gip1,Mrpl23,Mrpl54,Mrpl12,Mrpl34,Mrps35,Mrps7,Mrps16,Mrps27,Mrps21,Chchd1,Mrpl18,Aurkaip1,Dap3,Mrpl43,Mrpl38,Mrpl55,Mrps36,Mrpl39,Mrpl15,Mrpl48,Mrpl17,Mrps24,Mrps14,Mrpl13,Mrps12
MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	56	0.902082	bottom	6.35e-13	ks	10090.ENSMUSP00000000090,10090.ENSMUSP00000002452,10090.ENSMUSP00000014438,10090.ENSMUSP00000016396,10090.ENSMUSP00000016571,10090.ENSMUSP00000020372,10090.ENSMUSP00000021993,10090.ENSMUSP00000022286,10090.ENSMUSP00000022980,10090.ENSMUSP00000023085,10090.ENSMUSP00000023210,10090.ENSMUSP00000023514,10090.ENSMUSP00000023608,10090.ENSMUSP00000023761,10090.ENSMUSP00000023851,10090.ENSMUSP00000024705,10090.ENSMUSP00000027193,10090.ENSMUSP00000027478,10090.ENSMUSP00000033582,10090.ENSMUSP00000037341,10090.ENSMUSP00000038463,10090.ENSMUSP00000038961,10090.ENSMUSP00000039692,10090.ENSMUSP00000040717,10090.ENSMUSP00000043543,10090.ENSMUSP00000047960,10090.ENSMUSP00000051222,10090.ENSMUSP00000053145,10090.ENSMUSP00000054856,10090.ENSMUSP00000065352,10090.ENSMUSP00000073832,10090.ENSMUSP00000075150,10090.ENSMUSP00000075953,10090.ENSMUSP00000077744,10090.ENSMUSP00000080994,10090.ENSMUSP00000080997,10090.ENSMUSP00000081001,10090.ENSMUSP00000088029,10090.ENSMUSP00000101003,10090.ENSMUSP00000101006,10090.ENSMUSP00000101813,10090.ENSMUSP00000102147,10090.ENSMUSP00000105796,10090.ENSMUSP00000110547,10090.ENSMUSP00000110586,10090.ENSMUSP00000112320,10090.ENSMUSP00000115419,10090.ENSMUSP00000121557,10090.ENSMUSP00000125504,10090.ENSMUSP00000130532,10090.ENSMUSP00000136247,10090.ENSMUSP00000136313,10090.ENSMUSP00000138019,10090.ENSMUSP00000144932,10090.ENSMUSP00000158541,10090.ENSMUSP00000159138	Cox5a,Ndufa11,Ndufa2,Atp5e,Ndufa1,Uqcr11,Uqcrb,Ndufs4,Ndufb9,Ndufa6,Cyc1,Ndufb4,Atp5j,Cox14,Ndufa5,Slc25a27,Ndufb3,Ndufa10,Cox7b,Ndufb7,Ndufc1,Gm11273,Ndufa7,Cox8a,Ndufb10,Atp5l,Atp5k,Uqcrq,Uqcr10,Ndufa8,Ndufaf3,Cox6b1,Ndufa3,Uqcrh,mt-Co2,mt-Co3,mt-Nd5,Atp5g1,Ndufs7,Atp5d,Ndufs5,Atp5h,Ndufa13,Atp5c1,Slc25a14,Ndufb11,Cox7c,Ndufv2,Atp5j2,Ndufaf2,Ecsit,Ndufa12,Cox4i1,Ndufa4,Ndufs8,Ndufb1-ps
MMU-72689	Formation of a pool of free 40S subunits	56	0.954793	bottom	1.13e-12	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000017548,10090.ENSMUSP00000019649,10090.ENSMUSP00000026420,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000066038,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000084387,10090.ENSMUSP00000098076,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Rplp1,Rpl19,Ubb,Rps26,Rpl28,Rps3,Rps4x,Rpl4,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rps21,Rpl37a,Eif3k,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Eif1ax,Eif3b,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Rpl26,Rpl14,Rps28,Rpl32,Rpl18,Rps12,Rps24
MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	58	0.928644	bottom	2.29e-12	ks	10090.ENSMUSP00000000756,10090.ENSMUSP00000003521,10090.ENSMUSP00000008036,10090.ENSMUSP00000017548,10090.ENSMUSP00000019649,10090.ENSMUSP00000026420,10090.ENSMUSP00000032597,10090.ENSMUSP00000032998,10090.ENSMUSP00000033683,10090.ENSMUSP00000034966,10090.ENSMUSP00000038352,10090.ENSMUSP00000041652,10090.ENSMUSP00000046506,10090.ENSMUSP00000048469,10090.ENSMUSP00000054490,10090.ENSMUSP00000058432,10090.ENSMUSP00000058919,10090.ENSMUSP00000059395,10090.ENSMUSP00000066038,10090.ENSMUSP00000069004,10090.ENSMUSP00000071616,10090.ENSMUSP00000079180,10090.ENSMUSP00000079340,10090.ENSMUSP00000079628,10090.ENSMUSP00000079672,10090.ENSMUSP00000080854,10090.ENSMUSP00000081474,10090.ENSMUSP00000082055,10090.ENSMUSP00000083705,10090.ENSMUSP00000083722,10090.ENSMUSP00000084387,10090.ENSMUSP00000098076,10090.ENSMUSP00000099435,10090.ENSMUSP00000099541,10090.ENSMUSP00000099595,10090.ENSMUSP00000102209,10090.ENSMUSP00000103940,10090.ENSMUSP00000104068,10090.ENSMUSP00000104179,10090.ENSMUSP00000104265,10090.ENSMUSP00000109399,10090.ENSMUSP00000110728,10090.ENSMUSP00000110886,10090.ENSMUSP00000115722,10090.ENSMUSP00000117461,10090.ENSMUSP00000117834,10090.ENSMUSP00000118787,10090.ENSMUSP00000120528,10090.ENSMUSP00000123410,10090.ENSMUSP00000126294,10090.ENSMUSP00000127034,10090.ENSMUSP00000129072,10090.ENSMUSP00000131489,10090.ENSMUSP00000134615,10090.ENSMUSP00000145350,10090.ENSMUSP00000147816,10090.ENSMUSP00000151305,10090.ENSMUSP00000152944	Rpl13,Rps11,Rplp1,Rpl19,Ubb,Rps26,Rpl28,Rps3,Rps4x,Rpl4,Rps29,Rpl21,Rpl37,Rpl10a,Rps23,Rps21,Rpl37a,Eif2s3x,Eif3k,Rps15,Rpl7,Rps25,Rpl36,Rps17,Rpl35,Rpl5,Rplp2,Rpl10,Rplp0,Rpl31,Eif1ax,Eif3b,Rpl23,Rpl23a,Rpl11,Rpl38,Rps16,Rps19,Rps5,Rps9,Rpl9,Rpl35a,Rpl39,Rpl13a,Rpl12,Rpl29,Rpl22,Rps20,Rpl27a,Rps13,Eif4a1,Rpl26,Rpl14,Rps28,Rpl32,Rpl18,Rps12,Rps24
