#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu04064	NF-kappa B signaling pathway	10	99	0.77	0.0029	10090.ENSMUSP00000032491,10090.ENSMUSP00000042433,10090.ENSMUSP00000057844,10090.ENSMUSP00000083587,10090.ENSMUSP00000092355,10090.ENSMUSP00000096829,10090.ENSMUSP00000103528,10090.ENSMUSP00000109872,10090.ENSMUSP00000109952,10090.ENSMUSP00000130759	Tnfrsf1a,Ddx58,Blnk,Icam1,Relb,Csnk2a1,Trim25,Traf2,Cflar,Traf1
mmu05169	Epstein-Barr virus infection	15	214	0.61	0.0029	10090.ENSMUSP00000005218,10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000026571,10090.ENSMUSP00000028062,10090.ENSMUSP00000042433,10090.ENSMUSP00000057844,10090.ENSMUSP00000080209,10090.ENSMUSP00000083587,10090.ENSMUSP00000092355,10090.ENSMUSP00000099534,10090.ENSMUSP00000109872,10090.ENSMUSP00000134550,10090.ENSMUSP00000141132,10090.ENSMUSP00000156559	Cd44,H2-K1,H2-Oa,Irf7,Vim,Ddx58,Blnk,Oas2,Icam1,Relb,B2m,Traf2,H2-Q6,Stat1,Cdkn1a
mmu05160	Hepatitis C	11	158	0.61	0.0162	10090.ENSMUSP00000026571,10090.ENSMUSP00000032491,10090.ENSMUSP00000041925,10090.ENSMUSP00000042433,10090.ENSMUSP00000065284,10090.ENSMUSP00000080209,10090.ENSMUSP00000099888,10090.ENSMUSP00000109872,10090.ENSMUSP00000109952,10090.ENSMUSP00000141132,10090.ENSMUSP00000156559	Irf7,Tnfrsf1a,Cldn5,Ddx58,Ocln,Oas2,Ifit1,Traf2,Cflar,Stat1,Cdkn1a
mmu05202	Transcriptional misregulation in cancer	12	191	0.56	0.0162	10090.ENSMUSP00000001592,10090.ENSMUSP00000016231,10090.ENSMUSP00000023673,10090.ENSMUSP00000027695,10090.ENSMUSP00000029748,10090.ENSMUSP00000031681,10090.ENSMUSP00000093442,10090.ENSMUSP00000110923,10090.ENSMUSP00000111103,10090.ENSMUSP00000130759,10090.ENSMUSP00000156559,10090.ENSMUSP00000156669	Jup,Fli1,Runx1,Slc45a3,Fcgr1,Wnt16,Etv1,Csf1r,Met,Traf1,Cdkn1a,Erg
mmu04380	Osteoclast differentiation	9	119	0.64	0.0219	10090.ENSMUSP00000028882,10090.ENSMUSP00000029748,10090.ENSMUSP00000032491,10090.ENSMUSP00000057844,10090.ENSMUSP00000092355,10090.ENSMUSP00000108863,10090.ENSMUSP00000109872,10090.ENSMUSP00000110923,10090.ENSMUSP00000141132	Il1a,Fcgr1,Tnfrsf1a,Blnk,Relb,Trem2,Traf2,Csf1r,Stat1
mmu04612	Antigen processing and presentation	7	75	0.74	0.0262	10090.ENSMUSP00000015667,10090.ENSMUSP00000021607,10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000095171,10090.ENSMUSP00000099534,10090.ENSMUSP00000134550	Ctss,Lgmn,H2-K1,H2-Oa,Cd74,B2m,H2-Q6
mmu05166	Human T-cell leukemia virus 1 infection	12	232	0.48	0.0454	10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000029545,10090.ENSMUSP00000032491,10090.ENSMUSP00000034534,10090.ENSMUSP00000037126,10090.ENSMUSP00000057815,10090.ENSMUSP00000083587,10090.ENSMUSP00000092355,10090.ENSMUSP00000099534,10090.ENSMUSP00000134550,10090.ENSMUSP00000156559	H2-K1,H2-Oa,Crtc2,Tnfrsf1a,Ets1,Bub1b,Zfp36,Icam1,Relb,B2m,H2-Q6,Cdkn1a
mmu05200	Pathways in cancer	20	527	0.34	0.0454	10090.ENSMUSP00000001592,10090.ENSMUSP00000023673,10090.ENSMUSP00000025399,10090.ENSMUSP00000025856,10090.ENSMUSP00000031681,10090.ENSMUSP00000034187,10090.ENSMUSP00000034534,10090.ENSMUSP00000034777,10090.ENSMUSP00000038576,10090.ENSMUSP00000043957,10090.ENSMUSP00000064333,10090.ENSMUSP00000092828,10090.ENSMUSP00000104503,10090.ENSMUSP00000107498,10090.ENSMUSP00000109872,10090.ENSMUSP00000110923,10090.ENSMUSP00000111103,10090.ENSMUSP00000130759,10090.ENSMUSP00000141132,10090.ENSMUSP00000156559	Jup,Runx1,Pmaip1,Lrp5,Wnt16,Mmp2,Ets1,Calml4,Brca2,Lama1,Wnt11,Rasgrp3,Birc7,Sufu,Traf2,Csf1r,Met,Traf1,Stat1,Cdkn1a
mmu04210	Apoptosis	8	135	0.54	0.1008	10090.ENSMUSP00000015667,10090.ENSMUSP00000025399,10090.ENSMUSP00000027009,10090.ENSMUSP00000032491,10090.ENSMUSP00000032779,10090.ENSMUSP00000109872,10090.ENSMUSP00000109952,10090.ENSMUSP00000130759	Ctss,Pmaip1,Casp12,Tnfrsf1a,Ctsc,Traf2,Cflar,Traf1
mmu05145	Toxoplasmosis	7	106	0.59	0.1008	10090.ENSMUSP00000025192,10090.ENSMUSP00000032491,10090.ENSMUSP00000043957,10090.ENSMUSP00000050446,10090.ENSMUSP00000056001,10090.ENSMUSP00000104503,10090.ENSMUSP00000141132	H2-Oa,Tnfrsf1a,Lama1,Irgm1,Irgm2,Birc7,Stat1
