#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-1799339	SRP-dependent cotranslational protein targeting to membrane	12	90	0.63	0.0962	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-72689	Formation of a pool of free 40S subunits	12	99	0.59	0.0962	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	12	92	0.62	0.0962	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-1474244	Extracellular matrix organization	19	247	0.39	0.1241	10090.ENSMUSP00000000299,10090.ENSMUSP00000001547,10090.ENSMUSP00000005532,10090.ENSMUSP00000009143,10090.ENSMUSP00000015667,10090.ENSMUSP00000017488,10090.ENSMUSP00000029848,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000047164,10090.ENSMUSP00000059732,10090.ENSMUSP00000080214,10090.ENSMUSP00000083587,10090.ENSMUSP00000084573,10090.ENSMUSP00000087119,10090.ENSMUSP00000096266,10090.ENSMUSP00000101049,10090.ENSMUSP00000102408,10090.ENSMUSP00000107729	Itgb2,Col1a1,Nid1,Bmp7,Ctss,Vtn,Col24a1,Col9a2,Col1a2,Capn8,Emilin3,Ltbp3,Icam1,Capn6,Mmp14,Ceacam1,Col18a1,Pecam1,Itga6
MMU-156827	L13a-mediated translational silencing of Ceruloplasmin expression	12	109	0.55	0.1241	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	12	110	0.55	0.1241	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-9006934	Signaling by Receptor Tyrosine Kinases	26	410	0.31	0.1241	10090.ENSMUSP00000001547,10090.ENSMUSP00000002677,10090.ENSMUSP00000004622,10090.ENSMUSP00000005164,10090.ENSMUSP00000007216,10090.ENSMUSP00000020118,10090.ENSMUSP00000020617,10090.ENSMUSP00000020695,10090.ENSMUSP00000022697,10090.ENSMUSP00000025522,10090.ENSMUSP00000029848,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000033941,10090.ENSMUSP00000034339,10090.ENSMUSP00000035211,10090.ENSMUSP00000038149,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000073691,10090.ENSMUSP00000078757,10090.ENSMUSP00000088056,10090.ENSMUSP00000088837,10090.ENSMUSP00000106735,10090.ENSMUSP00000123506,10090.ENSMUSP00000131010	Col1a1,Axl,Gab2,Prkacb,Ap2m1,Dusp6,Flt4,Tns3,Fgf17,Pdgfrb,Col24a1,Col9a2,Col1a2,Plat,Cdh5,Mst1,Hpn,Erbb2,Pik3r1,Elmo2,Ntrk2,Ptprz1,Insr,Psen2,Flt3l,Sphk1
MMU-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	12	112	0.54	0.1241	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Rpl29,Rps28,Rps12
MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	6	34	0.75	0.1634	10090.ENSMUSP00000031314,10090.ENSMUSP00000033185,10090.ENSMUSP00000046199,10090.ENSMUSP00000048309,10090.ENSMUSP00000090895,10090.ENSMUSP00000133302	Alb,Hpx,Stab1,Stab2,Hba-a2,Apoe
MMU-72695	Formation of the ternary complex, and subsequently, the 43S complex	7	50	0.65	0.2009	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000038352,10090.ENSMUSP00000099757,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Rps29,Rps8,Rps28,Rps12
MMU-162582	Signal Transduction	93	2212	0.13	0.2289	10090.ENSMUSP00000001547,10090.ENSMUSP00000002303,10090.ENSMUSP00000002677,10090.ENSMUSP00000003635,10090.ENSMUSP00000004622,10090.ENSMUSP00000005019,10090.ENSMUSP00000005164,10090.ENSMUSP00000006046,10090.ENSMUSP00000007216,10090.ENSMUSP00000020118,10090.ENSMUSP00000020617,10090.ENSMUSP00000020695,10090.ENSMUSP00000020930,10090.ENSMUSP00000021796,10090.ENSMUSP00000022697,10090.ENSMUSP00000022718,10090.ENSMUSP00000023840,10090.ENSMUSP00000025224,10090.ENSMUSP00000025522,10090.ENSMUSP00000025835,10090.ENSMUSP00000026416,10090.ENSMUSP00000026474,10090.ENSMUSP00000027291,10090.ENSMUSP00000028233,10090.ENSMUSP00000028883,10090.ENSMUSP00000029453,10090.ENSMUSP00000029611,10090.ENSMUSP00000029848,10090.ENSMUSP00000030187,10090.ENSMUSP00000030372,10090.ENSMUSP00000031607,10090.ENSMUSP00000031668,10090.ENSMUSP00000033941,10090.ENSMUSP00000034339,10090.ENSMUSP00000034650,10090.ENSMUSP00000035211,10090.ENSMUSP00000035662,10090.ENSMUSP00000035829,10090.ENSMUSP00000036765,10090.ENSMUSP00000038091,10090.ENSMUSP00000038149,10090.ENSMUSP00000041025,10090.ENSMUSP00000041519,10090.ENSMUSP00000044554,10090.ENSMUSP00000044834,10090.ENSMUSP00000046601,10090.ENSMUSP00000047900,10090.ENSMUSP00000053897,10090.ENSMUSP00000054210,10090.ENSMUSP00000055697,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000057669,10090.ENSMUSP00000059129,10090.ENSMUSP00000060517,10090.ENSMUSP00000061243,10090.ENSMUSP00000062049,10090.ENSMUSP00000063284,10090.ENSMUSP00000063784,10090.ENSMUSP00000065157,10090.ENSMUSP00000067057,10090.ENSMUSP00000067217,10090.ENSMUSP00000067898,10090.ENSMUSP00000069744,10090.ENSMUSP00000070200,10090.ENSMUSP00000070927,10090.ENSMUSP00000071966,10090.ENSMUSP00000073691,10090.ENSMUSP00000075966,10090.ENSMUSP00000078047,10090.ENSMUSP00000078337,10090.ENSMUSP00000078753,10090.ENSMUSP00000078757,10090.ENSMUSP00000080214,10090.ENSMUSP00000085016,10090.ENSMUSP00000088056,10090.ENSMUSP00000088837,10090.ENSMUSP00000092508,10090.ENSMUSP00000094021,10090.ENSMUSP00000104136,10090.ENSMUSP00000106735,10090.ENSMUSP00000107519,10090.ENSMUSP00000108455,10090.ENSMUSP00000109687,10090.ENSMUSP00000109952,10090.ENSMUSP00000115237,10090.ENSMUSP00000121079,10090.ENSMUSP00000123506,10090.ENSMUSP00000124963,10090.ENSMUSP00000130530,10090.ENSMUSP00000131010,10090.ENSMUSP00000143677,10090.ENSMUSP00000151504	Col1a1,Rhoc,Axl,Ier3,Gab2,Crabp2,Prkacb,Trh,Ap2m1,Dusp6,Flt4,Tns3,Gna13,Edn1,Fgf17,Ednrb,Cxcl13,Gfra3,Pdgfrb,Cpt1a,Cdk2,Gli1,Zap70,Hc,Pdyn,Vangl1,Lef1,Col24a1,Tln1,Col9a2,Dtx1,Col1a2,Plat,Cdh5,Mcam,Mst1,Arap3,Akap12,P2ry2,Klc3,Hpn,Pkn3,Sct,Fermt2,Arhgap18,Pde1c,Dusp5,Erbb2,Pnoc,P2ry6,Pik3r1,Gnai2,Rhot1,Socs3,Galr3,Gpr4,Cit,Arhgef33,Adcyap1r1,Npy5r,Adcyap1,Cdc42ep3,Wls,Rara,Adra1b,Wdr6,Plxnb1,Elmo2,Plppr1,Hhip,Apc,Gpr84,Ntrk2,Ltbp3,Notch3,Ptprz1,Insr,Cdc42ep5,Htr2c,Slc1a5,Psen2,Ccrl2,Amot,Tcf7l1,Cflar,Sox3,Pcp2,Flt3l,Prkg2,Adcy4,Sphk1,Camk2d,Pomc
MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	10	102	0.5	0.2289	10090.ENSMUSP00000000299,10090.ENSMUSP00000001547,10090.ENSMUSP00000004728,10090.ENSMUSP00000027966,10090.ENSMUSP00000031668,10090.ENSMUSP00000052033,10090.ENSMUSP00000078138,10090.ENSMUSP00000083587,10090.ENSMUSP00000099739,10090.ENSMUSP00000137837	Itgb2,Col1a1,Cd33,Fcgr2b,Col1a2,Jaml,H2-Q2,Icam1,H2-T23,Crtam
