ReactomeID,Description,GeneRatio,BgRatio,pvalue,padj,geneID,geneName,EntrezID,Count,Up,Up_Gene_id,Down,Down_Gene_id
R-MMU-1474244,Extracellular matrix organization,20|294,246|8067,0.000632631,0.393165255,ENSMUSG00000032796/ENSMUSG00000020717/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000000957/ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000005397/ENSMUSG00000017344/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000038599/ENSMUSG00000038642/ENSMUSG00000008999/ENSMUSG00000024940/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000037405/ENSMUSG00000067276,Lama1/Pecam1/Lamb2/Col1a1/Mmp14/Mfap1b/Emilin3/Nid1/Vtn/Itga6/Col18a1/Capn8/Ctss/Bmp7/Ltbp3/Itgb2/Ceacam1/Col1a2/Icam1/Capn6,16772/18613/16779/12842/17387/100034361/280635/18073/22370/16403/12822/170725/13040/12162/16998/16414/26365/12843/15894/12338,20,0,,20,ENSMUSG00000032796/ENSMUSG00000020717/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000000957/ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000005397/ENSMUSG00000017344/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000038599/ENSMUSG00000038642/ENSMUSG00000008999/ENSMUSG00000024940/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000037405/ENSMUSG00000067276
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,10|294,91|8067,0.001672574,0.393165255,ENSMUSG00000091705/ENSMUSG00000032021/ENSMUSG00000026656/ENSMUSG00000004609/ENSMUSG00000001506/ENSMUSG00000048534/ENSMUSG00000067212/ENSMUSG00000000290/ENSMUSG00000029661/ENSMUSG00000037405,H2-Q2/Crtam/Fcgr2b/Cd33/Col1a1/Jaml/H2-T23/Itgb2/Col1a2/Icam1,15013/54698/14130/12489/12842/270152/15040/16414/12843/15894,10,0,,10,ENSMUSG00000091705/ENSMUSG00000032021/ENSMUSG00000026656/ENSMUSG00000004609/ENSMUSG00000001506/ENSMUSG00000048534/ENSMUSG00000067212/ENSMUSG00000000290/ENSMUSG00000029661/ENSMUSG00000037405
R-MMU-3000157,Laminin interactions,5|294,26|8067,0.002175929,0.393165255,ENSMUSG00000032796/ENSMUSG00000052911/ENSMUSG00000005397/ENSMUSG00000027111/ENSMUSG00000001435,Lama1/Lamb2/Nid1/Itga6/Col18a1,16772/16779/18073/16403/12822,5,0,,5,ENSMUSG00000032796/ENSMUSG00000052911/ENSMUSG00000005397/ENSMUSG00000027111/ENSMUSG00000001435
R-MMU-216083,Integrin cell surface interactions,8|294,70|8067,0.003750273,0.393165255,ENSMUSG00000020717/ENSMUSG00000001506/ENSMUSG00000017344/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000000290/ENSMUSG00000029661/ENSMUSG00000037405,Pecam1/Col1a1/Vtn/Itga6/Col18a1/Itgb2/Col1a2/Icam1,18613/12842/22370/16403/12822/16414/12843/15894,8,0,,8,ENSMUSG00000020717/ENSMUSG00000001506/ENSMUSG00000017344/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000000290/ENSMUSG00000029661/ENSMUSG00000037405
R-MMU-8957275,Post-translational protein phosphorylation,10|294,104|8067,0.004487257,0.393165255,ENSMUSG00000052911/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000028195/ENSMUSG00000029070/ENSMUSG00000026715/ENSMUSG00000029309/ENSMUSG00000029368/ENSMUSG00000037254/ENSMUSG00000079015,Lamb2/Apoe/Pcsk9/Ccn1/Mxra8/Serpinc1/Sparcl1/Alb/Itih2/Serpina1c,16779/11816/100102/16007/74761/11905/13602/11657/16425/20702,10,0,,10,ENSMUSG00000052911/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000028195/ENSMUSG00000029070/ENSMUSG00000026715/ENSMUSG00000029309/ENSMUSG00000029368/ENSMUSG00000037254/ENSMUSG00000079015
R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,9|294,88|8067,0.004591164,0.393165255,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-430116,GP1b-IX-V activation signalling,3|294,10|8067,0.004751631,0.393165255,ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000029661,Pik3r1/Col1a1/Col1a2,18708/12842/12843,3,0,,3,ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000029661
R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),9|294,90|8067,0.005328054,0.393165255,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-202733,Cell surface interactions at the vascular wall,10|294,107|8067,0.005491038,0.393165255,ENSMUSG00000020717/ENSMUSG00000051457/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000048534/ENSMUSG00000027111/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000041329,Pecam1/Spn/Pik3r1/Col1a1/Jaml/Itga6/Itgb2/Ceacam1/Col1a2/Atp1b2,18613/20737/18708/12842/270152/16403/16414/26365/12843/11932,10,1,ENSMUSG00000051457,9,ENSMUSG00000020717/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000048534/ENSMUSG00000027111/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000041329
R-MMU-416572,Sema4D induced cell migration and growth-cone collapse,3|294,11|8067,0.006358884,0.393165255,ENSMUSG00000062312/ENSMUSG00000002233/ENSMUSG00000053646,Erbb2/Rhoc/Plxnb1,13866/11853/235611,3,0,,3,ENSMUSG00000062312/ENSMUSG00000002233/ENSMUSG00000053646
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10|294,110|8067,0.006662568,0.393165255,ENSMUSG00000052911/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000028195/ENSMUSG00000029070/ENSMUSG00000026715/ENSMUSG00000029309/ENSMUSG00000029368/ENSMUSG00000037254/ENSMUSG00000079015,Lamb2/Apoe/Pcsk9/Ccn1/Mxra8/Serpinc1/Sparcl1/Alb/Itih2/Serpina1c,16779/11816/100102/16007/74761/11905/13602/11657/16425/20702,10,0,,10,ENSMUSG00000052911/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000028195/ENSMUSG00000029070/ENSMUSG00000026715/ENSMUSG00000029309/ENSMUSG00000029368/ENSMUSG00000037254/ENSMUSG00000079015
R-MMU-2129379,Molecules associated with elastic fibres,5|294,34|8067,0.007258435,0.393165255,ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000017344/ENSMUSG00000008999/ENSMUSG00000024940,Mfap1b/Emilin3/Vtn/Bmp7/Ltbp3,100034361/280635/22370/12162/16998,5,0,,5,ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000017344/ENSMUSG00000008999/ENSMUSG00000024940
R-MMU-72689,Formation of a pool of free 40S subunits,9|294,97|8067,0.008648229,0.401688867,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
