#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu03010	Ribosome	14	126	0.55	0.0152	10090.ENSMUSP00000003521,10090.ENSMUSP00000008812,10090.ENSMUSP00000033683,10090.ENSMUSP00000035177,10090.ENSMUSP00000038352,10090.ENSMUSP00000046506,10090.ENSMUSP00000058919,10090.ENSMUSP00000079340,10090.ENSMUSP00000099757,10090.ENSMUSP00000106249,10090.ENSMUSP00000115512,10090.ENSMUSP00000117834,10090.ENSMUSP00000134615,10090.ENSMUSP00000151305	Rps11,Rps18,Rps4x,Mrpl3,Rps29,Rpl37,Rpl37a,Rpl36,Rps8,Rpl36al,Mrpl15,Rpl29,Rps28,Rps12
mmu05200	Pathways in cancer	35	527	0.33	0.0152	10090.ENSMUSP00000001713,10090.ENSMUSP00000003947,10090.ENSMUSP00000005164,10090.ENSMUSP00000019924,10090.ENSMUSP00000020617,10090.ENSMUSP00000020930,10090.ENSMUSP00000021796,10090.ENSMUSP00000022697,10090.ENSMUSP00000022718,10090.ENSMUSP00000023589,10090.ENSMUSP00000024811,10090.ENSMUSP00000024954,10090.ENSMUSP00000025399,10090.ENSMUSP00000025522,10090.ENSMUSP00000026416,10090.ENSMUSP00000026474,10090.ENSMUSP00000029611,10090.ENSMUSP00000033418,10090.ENSMUSP00000040576,10090.ENSMUSP00000043957,10090.ENSMUSP00000053551,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000069087,10090.ENSMUSP00000069744,10090.ENSMUSP00000078047,10090.ENSMUSP00000078337,10090.ENSMUSP00000085016,10090.ENSMUSP00000104503,10090.ENSMUSP00000107729,10090.ENSMUSP00000109687,10090.ENSMUSP00000123506,10090.ENSMUSP00000130530,10090.ENSMUSP00000136655	Gstt1,Nqo1,Prkacb,Hey2,Flt4,Gna13,Edn1,Fgf17,Ednrb,Kng1,Pim1,Epas1,Pmaip1,Pdgfrb,Cdk2,Gli1,Lef1,Il13ra1,Heyl,Lama1,Fzd9,Erbb2,Pik3r1,Gnai2,Lamb2,Rara,Hhip,Apc,Notch3,Birc7,Itga6,Tcf7l1,Flt3l,Adcy4,Gm5741
mmu04024	cAMP signaling pathway	17	206	0.42	0.0496	10090.ENSMUSP00000005164,10090.ENSMUSP00000021796,10090.ENSMUSP00000026474,10090.ENSMUSP00000032974,10090.ENSMUSP00000035662,10090.ENSMUSP00000047353,10090.ENSMUSP00000056774,10090.ENSMUSP00000057543,10090.ENSMUSP00000063412,10090.ENSMUSP00000063784,10090.ENSMUSP00000067057,10090.ENSMUSP00000078047,10090.ENSMUSP00000083077,10090.ENSMUSP00000118318,10090.ENSMUSP00000130530,10090.ENSMUSP00000130604,10090.ENSMUSP00000151504	Prkacb,Edn1,Gli1,Atp2a1,Arap3,Atp1b2,Pik3r1,Gnai2,Acox3,Adcyap1r1,Adcyap1,Hhip,Atp1a2,Afdn,Adcy4,Plce1,Pomc
mmu04151	PI3K-Akt signaling pathway	24	353	0.34	0.0496	10090.ENSMUSP00000001547,10090.ENSMUSP00000003154,10090.ENSMUSP00000017488,10090.ENSMUSP00000020617,10090.ENSMUSP00000022697,10090.ENSMUSP00000025522,10090.ENSMUSP00000026416,10090.ENSMUSP00000029017,10090.ENSMUSP00000029623,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000041025,10090.ENSMUSP00000043957,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000069087,10090.ENSMUSP00000076115,10090.ENSMUSP00000078757,10090.ENSMUSP00000088837,10090.ENSMUSP00000107729,10090.ENSMUSP00000112472,10090.ENSMUSP00000123506,10090.ENSMUSP00000136655,10090.ENSMUSP00000137530	Col1a1,Efna2,Vtn,Flt4,Fgf17,Pdgfrb,Cdk2,Pck1,Tlr2,Col9a2,Col1a2,Pkn3,Lama1,Erbb2,Pik3r1,Lamb2,Efna5,Ntrk2,Insr,Itga6,Col6a4,Flt3l,Gm5741,Ppp2r3d
mmu04610	Complement and coagulation cascades	10	91	0.55	0.0502	10090.ENSMUSP00000000299,10090.ENSMUSP00000017488,10090.ENSMUSP00000023589,10090.ENSMUSP00000028233,10090.ENSMUSP00000033941,10090.ENSMUSP00000036747,10090.ENSMUSP00000068971,10090.ENSMUSP00000073695,10090.ENSMUSP00000077909,10090.ENSMUSP00000139941	Itgb2,Vtn,Kng1,Hc,Plat,C1qc,Serpinc1,Serpina1c,Serpina1d,Serpina1b
mmu05165	Human papillomavirus infection	23	342	0.34	0.0502	10090.ENSMUSP00000001547,10090.ENSMUSP00000005164,10090.ENSMUSP00000017488,10090.ENSMUSP00000019924,10090.ENSMUSP00000025522,10090.ENSMUSP00000026416,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000040576,10090.ENSMUSP00000043957,10090.ENSMUSP00000053551,10090.ENSMUSP00000056774,10090.ENSMUSP00000069087,10090.ENSMUSP00000078138,10090.ENSMUSP00000078337,10090.ENSMUSP00000085016,10090.ENSMUSP00000092006,10090.ENSMUSP00000099739,10090.ENSMUSP00000107729,10090.ENSMUSP00000109687,10090.ENSMUSP00000112472,10090.ENSMUSP00000134570,10090.ENSMUSP00000137530	Col1a1,Prkacb,Vtn,Hey2,Pdgfrb,Cdk2,Col9a2,Col1a2,Heyl,Lama1,Fzd9,Pik3r1,Lamb2,H2-Q2,Apc,Notch3,Hes3,H2-T23,Itga6,Tcf7l1,Col6a4,H2-D1,Ppp2r3d
mmu05412	Arrhythmogenic right ventricular cardiomyopathy	9	76	0.58	0.0502	10090.ENSMUSP00000029611,10090.ENSMUSP00000029699,10090.ENSMUSP00000032974,10090.ENSMUSP00000043957,10090.ENSMUSP00000044660,10090.ENSMUSP00000099451,10090.ENSMUSP00000107729,10090.ENSMUSP00000109687,10090.ENSMUSP00000132512	Lef1,Lmna,Atp2a1,Lama1,Cacna2d4,Sgca,Itga6,Tcf7l1,Cacna2d2
mmu05414	Dilated cardiomyopathy	10	90	0.55	0.0502	10090.ENSMUSP00000005164,10090.ENSMUSP00000029699,10090.ENSMUSP00000032974,10090.ENSMUSP00000043957,10090.ENSMUSP00000044660,10090.ENSMUSP00000099451,10090.ENSMUSP00000107729,10090.ENSMUSP00000130530,10090.ENSMUSP00000131991,10090.ENSMUSP00000132512	Prkacb,Lmna,Atp2a1,Lama1,Cacna2d4,Sgca,Itga6,Adcy4,Tnnc1,Cacna2d2
mmu04514	Cell adhesion molecules	13	157	0.43	0.0727	10090.ENSMUSP00000000299,10090.ENSMUSP00000034339,10090.ENSMUSP00000034443,10090.ENSMUSP00000041925,10090.ENSMUSP00000049534,10090.ENSMUSP00000078138,10090.ENSMUSP00000083587,10090.ENSMUSP00000099739,10090.ENSMUSP00000102408,10090.ENSMUSP00000107729,10090.ENSMUSP00000109870,10090.ENSMUSP00000134570,10090.ENSMUSP00000153662	Itgb2,Cdh5,Cdh15,Cldn5,Spn,H2-Q2,Icam1,H2-T23,Pecam1,Itga6,H2-DMb1,H2-D1,Ptprm
mmu04014	Ras signaling pathway	16	225	0.36	0.0868	10090.ENSMUSP00000003154,10090.ENSMUSP00000004622,10090.ENSMUSP00000005164,10090.ENSMUSP00000020617,10090.ENSMUSP00000022697,10090.ENSMUSP00000025522,10090.ENSMUSP00000027291,10090.ENSMUSP00000030526,10090.ENSMUSP00000056774,10090.ENSMUSP00000076115,10090.ENSMUSP00000078757,10090.ENSMUSP00000088837,10090.ENSMUSP00000118318,10090.ENSMUSP00000123506,10090.ENSMUSP00000130604,10090.ENSMUSP00000136655	Efna2,Gab2,Prkacb,Flt4,Fgf17,Pdgfrb,Zap70,Pla2g2f,Pik3r1,Efna5,Ntrk2,Insr,Afdn,Flt3l,Plce1,Gm5741
mmu05410	Hypertrophic cardiomyopathy	9	88	0.52	0.0868	10090.ENSMUSP00000021796,10090.ENSMUSP00000029699,10090.ENSMUSP00000032974,10090.ENSMUSP00000043957,10090.ENSMUSP00000044660,10090.ENSMUSP00000099451,10090.ENSMUSP00000107729,10090.ENSMUSP00000131991,10090.ENSMUSP00000132512	Edn1,Lmna,Atp2a1,Lama1,Cacna2d4,Sgca,Itga6,Tnnc1,Cacna2d2
mmu00910	Nitrogen metabolism	4	17	0.88	0.0897	10090.ENSMUSP00000022322,10090.ENSMUSP00000027144,10090.ENSMUSP00000036983,10090.ENSMUSP00000063511	Glud1,Cps1,Car14,Car8
mmu05416	Viral myocarditis	8	74	0.54	0.0897	10090.ENSMUSP00000000299,10090.ENSMUSP00000043957,10090.ENSMUSP00000078138,10090.ENSMUSP00000083587,10090.ENSMUSP00000099451,10090.ENSMUSP00000099739,10090.ENSMUSP00000109870,10090.ENSMUSP00000134570	Itgb2,Lama1,H2-Q2,Icam1,Sgca,H2-T23,H2-DMb1,H2-D1
mmu04916	Melanogenesis	9	95	0.48	0.0991	10090.ENSMUSP00000005164,10090.ENSMUSP00000021796,10090.ENSMUSP00000022718,10090.ENSMUSP00000029611,10090.ENSMUSP00000053551,10090.ENSMUSP00000057543,10090.ENSMUSP00000109687,10090.ENSMUSP00000130530,10090.ENSMUSP00000151504	Prkacb,Edn1,Ednrb,Lef1,Fzd9,Gnai2,Tcf7l1,Adcy4,Pomc
mmu04510	Focal adhesion	14	196	0.36	0.1045	10090.ENSMUSP00000001547,10090.ENSMUSP00000017488,10090.ENSMUSP00000020617,10090.ENSMUSP00000025522,10090.ENSMUSP00000030187,10090.ENSMUSP00000030372,10090.ENSMUSP00000031668,10090.ENSMUSP00000043957,10090.ENSMUSP00000053897,10090.ENSMUSP00000056774,10090.ENSMUSP00000064163,10090.ENSMUSP00000069087,10090.ENSMUSP00000107729,10090.ENSMUSP00000112472	Col1a1,Vtn,Flt4,Pdgfrb,Tln1,Col9a2,Col1a2,Lama1,Erbb2,Pik3r1,Flnc,Lamb2,Itga6,Col6a4
mmu04750	Inflammatory mediator regulation of TRP channels	10	118	0.44	0.1120	10090.ENSMUSP00000003137,10090.ENSMUSP00000005164,10090.ENSMUSP00000019051,10090.ENSMUSP00000023589,10090.ENSMUSP00000036765,10090.ENSMUSP00000045598,10090.ENSMUSP00000050464,10090.ENSMUSP00000056774,10090.ENSMUSP00000094021,10090.ENSMUSP00000130530	Cyp2c29,Prkacb,Alox12e,Kng1,P2ry2,Asic4,Cyp2j9,Pik3r1,Htr2c,Adcy4
mmu04261	Adrenergic signaling in cardiomyocytes	11	141	0.4	0.1248	10090.ENSMUSP00000005164,10090.ENSMUSP00000032974,10090.ENSMUSP00000044660,10090.ENSMUSP00000047353,10090.ENSMUSP00000057543,10090.ENSMUSP00000070200,10090.ENSMUSP00000083077,10090.ENSMUSP00000130530,10090.ENSMUSP00000131991,10090.ENSMUSP00000132512,10090.ENSMUSP00000137530	Prkacb,Atp2a1,Cacna2d4,Atp1b2,Gnai2,Adra1b,Atp1a2,Adcy4,Tnnc1,Cacna2d2,Ppp2r3d
mmu05146	Amoebiasis	9	102	0.45	0.1248	10090.ENSMUSP00000000299,10090.ENSMUSP00000001547,10090.ENSMUSP00000005164,10090.ENSMUSP00000027243,10090.ENSMUSP00000029623,10090.ENSMUSP00000031668,10090.ENSMUSP00000043957,10090.ENSMUSP00000056774,10090.ENSMUSP00000069087	Itgb2,Col1a1,Prkacb,Il1r2,Tlr2,Col1a2,Lama1,Pik3r1,Lamb2
mmu03320	PPAR signaling pathway	8	86	0.48	0.1256	10090.ENSMUSP00000000466,10090.ENSMUSP00000025048,10090.ENSMUSP00000025835,10090.ENSMUSP00000026221,10090.ENSMUSP00000029017,10090.ENSMUSP00000036936,10090.ENSMUSP00000063412,10090.ENSMUSP00000114705	Plin2,Acsbg3,Cpt1a,Scd2,Pck1,Scd1,Acox3,Dbi
